  0.01  25.00 250.00
  0.01  25.00 250.00
  0.01  25.00 250.00
  0.01  25.00 250.00
  0.01  25.00 250.00
  0.01  25.00 250.00
  0.01  25.00 250.00
  0.01  25.00 250.00
  0.02  25.00 250.00
  0.02  25.00 250.00
  0.02  25.00 250.00
  0.02  25.00 250.00
  0.02  25.00 250.00
  0.02  25.00 250.00
  0.02  25.00 249.99
  0.02  25.00 249.99
  0.03  25.00 249.99
  0.03  25.00 249.99
  0.03  25.00 249.98
  0.03  25.00 249.98
  0.03  25.00 249.97
  0.03  25.00 249.97
  0.03  25.00 249.96
  0.04  25.00 249.95
  0.04  25.00 249.94
  0.04  25.00 249.93
  0.04  25.00 249.92
  0.04  25.00 249.91
  0.04  25.00 249.89
  0.04  25.00 249.88
  0.04  25.00 249.86
  0.05  25.00 249.84
  0.05  25.00 249.82
  0.05  25.00 249.80
  0.05  25.01 249.78
  0.05  25.01 249.76
  0.05  25.01 249.73
  0.05  25.01 249.70
  0.05  25.01 249.67
  0.06  25.01 249.64
  0.06  25.01 249.61
  0.06  25.01 249.57
  0.06  25.01 249.53
  0.06  25.02 249.50
  0.06  25.02 249.45
  0.06  25.02 249.41
  0.07  25.02 249.37
  0.07  25.02 249.32
  0.07  25.03 249.28
  0.07  25.03 249.23
  0.07  25.03 249.18
  0.07  25.03 249.12
  0.07  25.04 249.07
  0.07  25.04 249.01
  0.08  25.04 248.96
  0.08  25.05 248.90
  0.08  25.05 248.84
  0.08  25.05 248.78
  0.08  25.06 248.71
  0.08  25.06 248.65
  0.08  25.07 248.58
  0.08  25.07 248.52
  0.09  25.08 248.45
  0.09  25.08 248.38
  0.09  25.09 248.31
  0.09  25.09 248.24
  0.09  25.10 248.17
  0.09  25.11 248.10
  0.09  25.11 248.03
  0.09  25.12 247.95
  0.10  25.13 247.88
  0.10  25.13 247.80
  0.10  25.14 247.73
  0.10  25.15 247.65
  0.10  25.16 247.57
  0.10  25.17 247.50
  0.10  25.17 247.42
  0.11  25.18 247.34
  0.11  25.19 247.26
  0.11  25.20 247.18
  0.11  25.21 247.10
  0.11  25.22 247.02
  0.11  25.23 246.94
  0.11  25.24 246.86
  0.11  25.25 246.78
  0.12  25.26 246.70
  0.12  25.28 246.62
  0.12  25.29 246.54
  0.12  25.30 246.46
  0.12  25.31 246.38
  0.12  25.32 246.30
  0.12  25.34 246.22
  0.12  25.35 246.13
  0.13  25.36 246.05
  0.13  25.38 245.97
  0.13  25.39 245.89
  0.13  25.41 245.81
  0.13  25.42 245.73
  0.13  25.44 245.64
  0.13  25.45 245.56
  0.14  25.47 245.48
  0.14  25.48 245.40
  0.14  25.50 245.32
  0.14  25.52 245.24
  0.14  25.53 245.16
  0.14  25.55 245.08
  0.14  25.57 244.99
  0.14  25.59 244.91
  0.15  25.61 244.83
  0.15  25.62 244.75
  0.15  25.64 244.67
  0.15  25.66 244.59
  0.15  25.68 244.51
  0.15  25.70 244.43
  0.15  25.72 244.35
  0.15  25.74 244.27
  0.16  25.76 244.19
  0.16  25.78 244.11
  0.16  25.80 244.04
  0.16  25.83 243.96
  0.16  25.85 243.88
  0.16  25.87 243.80
  0.16  25.89 243.72
  0.17  25.91 243.64
  0.17  25.94 243.57
  0.17  25.96 243.49
  0.17  25.98 243.41
  0.17  26.01 243.33
  0.17  26.03 243.26
  0.17  26.06 243.18
  0.17  26.08 243.10
  0.18  26.10 243.03
  0.18  26.13 242.95
  0.18  26.16 242.88
  0.18  26.18 242.80
  0.18  26.21 242.72
  0.18  26.23 242.65
  0.18  26.26 242.57
